track	hyperparameters	build_rc	build_ms	blob_bytes	cpu_fuel	gpu_fuel	solve_rc	solve_ms	solve_fuel	verify_rc	quality
sift_128	{"m":16,"ef_construction":100,"batch":4096,"ef_search":64}	0	27833	64000012	144318237	84318000501	0	2471	411466627	0	851000
sift_128	{"m":16,"ef_construction":200,"batch":4096,"ef_search":64}	0	65389	64000012	144318237	172164379892	0	1752	409659399	0	865000
sift_128	{"m":32,"ef_construction":200,"batch":4096,"ef_search":128}	0	81429	128000012	288318249	204831125747	0	2260	944371756	0	973000
glove_100	{"m":16,"ef_construction":100,"batch":4096,"ef_search":64}	0	32719	76800012	173177469	105984033405	0	1764	422357349	0	292000
glove_100	{"m":16,"ef_construction":200,"batch":4096,"ef_search":64}	0	90598	76800012	173177469	229220433062	0	1830	423983468	0	296000
glove_100	{"m":32,"ef_construction":200,"batch":4096,"ef_search":128}	0	118258	153600012	345977481	279904859096	0	2328	1029994996	0	616000
nytimes_256	{"m":16,"ef_construction":100,"batch":4096,"ef_search":64}	0	10884	19200012	43307223	29499184897	0	1259	472807750	0	427000
nytimes_256	{"m":16,"ef_construction":200,"batch":4096,"ef_search":64}	0	26679	19200012	43307223	61978281928	0	1262	478181981	0	445000
nytimes_256	{"m":32,"ef_construction":200,"batch":4096,"ef_search":128}	0	36699	38400012	86507235	80035493013	0	1678	1212905983	0	696000
